#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
25988,-1.52,1.52,-10.66
26016,-1.52,1.52,-10.63
25996,-1.48,1.48,-10.39
25992,-1.44,1.44,-10.09
26008,-1.39,1.39,-9.74
24944,-1.33,1.33,-9.30
24944,-1.59,1.59,-11.12
26008,-2.34,2.34,-16.36
25992,-3.44,3.44,-24.06
26012,-4.66,4.66,-32.61
26000,-5.71,5.71,-39.97
26004,-6.45,6.45,-45.15
25992,-6.44,6.44,-45.11
25992,-5.84,5.84,-40.89
25992,-4.74,4.74,-33.16
26012,-2.96,2.96,-20.69
25992,-0.76,0.76,-5.30
24924,1.17,-1.17,8.21
23908,3.06,-3.06,21.41
24968,4.81,-4.81,33.67
24964,6.05,-6.05,42.36
24968,6.43,-6.43,45.02
24960,5.68,-5.68,39.75
24940,3.89,-3.89,27.22
24968,1.33,-1.33,9.28
23896,-1.15,1.15,-8.08
24944,-3.92,3.92,-27.42
26016,-6.19,6.19,-43.32
26016,-7.81,7.81,-54.66
26008,-8.26,8.26,-57.83
26000,-7.48,7.48,-52.39
25988,-5.21,5.21,-36.49
26000,-2.23,2.23,-15.61
25964,0.97,-0.97,6.77
23908,4.07,-4.07,28.48
24980,6.70,-6.70,46.89
24964,9.02,-9.02,63.12
24960,10.19,-10.19,71.34
27036,9.55,-9.55,66.85
24944,7.24,-7.24,50.67
24984,3.70,-3.70,25.91
24952,-0.35,0.35,-2.48
24916,-4.40,4.40,-30.80
26040,-8.47,8.47,-59.26
25996,-12.08,12.08,-84.57
28064,-14.10,14.10,-98.68
28092,-12.45,12.45,-87.13
28056,-7.94,7.94,-55.56
26020,-2.40,2.40,-16.79
25940,4.48,-4.48,31.33
25008,10.31,-10.31,72.14
27020,15.63,-15.63,109.41
