#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
23884,0.69,-0.69,3.45
23916,1.11,-1.11,5.55
23924,1.42,-1.42,7.11
23900,1.69,-1.69,8.44
23936,1.86,-1.86,9.28
23920,1.94,-1.94,9.68
23916,1.92,-1.92,9.61
23920,1.86,-1.86,9.32
23908,1.74,-1.74,8.68
23932,1.54,-1.54,7.70
23900,1.27,-1.27,6.37
23948,0.94,-0.94,4.71
23904,0.57,-0.57,2.87
23920,0.25,-0.25,1.24
23916,-0.04,0.04,-0.20
24944,-0.23,0.23,-1.15
24964,-0.32,0.32,-1.60
24960,-0.31,0.31,-1.54
24944,-0.23,0.23,-1.16
24976,-0.07,0.07,-0.34
24940,0.15,-0.15,0.74
23928,0.37,-0.37,1.86
23912,0.60,-0.60,2.99
23928,0.78,-0.78,3.89
23912,0.88,-0.88,4.38
23916,0.92,-0.92,4.59
23908,0.92,-0.92,4.62
23916,0.90,-0.90,4.52
23928,0.82,-0.82,4.10
23912,0.71,-0.71,3.54
23928,0.59,-0.59,2.94
23924,0.45,-0.45,2.24
23912,0.33,-0.33,1.63
23928,0.25,-0.25,1.25
23900,0.23,-0.23,1.15
23908,0.23,-0.23,1.16
23924,0.24,-0.24,1.18
23912,0.26,-0.26,1.32
23912,0.33,-0.33,1.64
23916,0.42,-0.42,2.12
23928,0.53,-0.53,2.64
23928,0.60,-0.60,3.01
23908,0.65,-0.65,3.24
23912,0.66,-0.66,3.28
23920,0.65,-0.65,3.26
23912,0.64,-0.64,3.20
23912,0.59,-0.59,2.97
23928,0.12,-0.12,0.62
23892,-0.61,0.61,-3.05
24964,-1.64,1.64,-8.19
24956,-2.88,2.88,-14.39
26036,-4.33,4.33,-21.67
25972,-5.92,5.92,-29.61
26000,-7.57,7.57,-37.87
26008,-8.93,8.93,-44.65
25992,-10.03,10.03,-50.13
28080,-10.27,10.27,-51.37
28080,-9.99,9.99,-49.96
25992,-8.89,8.89,-44.43
25992,-7.35,7.35,-36.75
26000,-5.39,5.39,-26.94
26016,-3.48,3.48,-17.40
25960,-1.26,1.26,-6.29
24944,0.56,-0.56,2.80
23904,2.07,-2.07,10.33
24984,3.31,-3.31,16.54
24940,4.47,-4.47,22.37
24984,5.32,-5.32,26.58
24960,5.77,-5.77,28.83
24972,5.40,-5.40,26.98
24932,4.12,-4.12,20.58
24948,1.85,-1.85,9.23
23920,-0.51,0.51,-2.55
24932,-2.77,2.77,-13.86
26016,-4.77,4.77,-23.83
26040,-6.12,6.12,-30.62
25988,-7.25,7.25,-36.25
25996,-7.94,7.94,-39.72
25964,-7.86,7.86,-39.29
25996,-7.09,7.09,-35.47
26004,-5.90,5.90,-29.50
26000,-4.36,4.36,-21.80
26020,-2.72,2.72,-13.62
25936,-1.15,1.15,-5.73
24960,0.38,-0.38,1.88
23912,1.40,-1.40,7.02
23948,2.32,-2.32,11.61
24940,3.14,-3.14,15.69
24948,3.57,-3.57,17.87
25000,3.69,-3.69,18.45
24948,3.42,-3.42,17.08
24972,2.55,-2.55,12.75
24912,1.53,-1.53,7.66
23924,0.70,-0.70,3.50
23904,0.20,-0.20,1.02
23940,0.04,-0.04,0.21
23904,-0.08,0.08,-0.38
24960,-0.12,0.12,-0.62
24956,-0.03,0.03,-0.17
24964,0.11,-0.11,0.53
23916,0.32,-0.32,1.61
23900,0.63,-0.63,3.13
23924,0.99,-0.99,4.94
23908,1.39,-1.39,6.96
23904,1.77,-1.77,8.84
23908,2.16,-2.16,10.78
24968,2.43,-2.43,12.16
24960,2.61,-2.61,13.06
24948,2.72,-2.72,13.61
24972,2.74,-2.74,13.71
24952,2.69,-2.69,13.47
24944,2.59,-2.59,12.95
24952,2.44,-2.44,12.19
24972,2.25,-2.25,11.24
24984,2.06,-2.06,10.30
24936,1.89,-1.89,9.45
23924,1.75,-1.75,8.76
23920,1.66,-1.66,8.29
23928,1.61,-1.61,8.04
23904,1.60,-1.60,7.99
23932,1.63,-1.63,8.14
23904,1.70,-1.70,8.50
23896,1.80,-1.80,9.01
23920,1.91,-1.91,9.55
23932,2.01,-2.01,10.05
24960,2.10,-2.10,10.50
24940,2.17,-2.17,10.84
24960,2.19,-2.19,10.97
24956,2.20,-2.20,11.00
24980,2.18,-2.18,10.91
24940,2.14,-2.14,10.68
24960,2.06,-2.06,10.28
24968,1.96,-1.96,9.80
23892,1.89,-1.89,9.47
