#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Done!
24956,-2.07,2.07,-6.21
24952,-2.53,2.53,-7.59
24948,-2.98,2.98,-8.94
992,-3.43,3.43,-10.30
25972,-3.97,3.97,-11.91
25996,-4.45,4.45,-13.34
26008,-4.88,4.88,-14.64
25992,-5.38,5.38,-16.15
26012,-5.91,5.91,-17.74
26036,-6.43,6.43,-19.28
25996,-6.92,6.92,-20.75
25964,-7.24,7.24,-21.73
25996,-7.53,7.53,-22.59
26008,-8.01,8.01,-24.02
25996,-8.16,8.16,-24.48
26000,-8.21,8.21,-24.64
25996,-8.10,8.10,-24.29
25996,-7.67,7.67,-23.02
26008,-7.06,7.06,-21.18
26008,-6.33,6.33,-18.99
25980,-5.54,5.54,-16.61
25976,-4.85,4.85,-14.55
25992,-4.24,4.24,-12.71
26000,-3.96,3.96,-11.89
26000,-3.97,3.97,-11.90
25988,-4.18,4.18,-12.53
26024,-4.53,4.53,-13.60
26000,-4.91,4.91,-14.72
25964,-5.13,5.13,-15.40
26016,-5.13,5.13,-15.40
26008,-5.17,5.17,-15.50
25984,-5.19,5.19,-15.58
26008,-5.11,5.11,-15.33
25984,-5.01,5.01,-15.02
25996,-4.90,4.90,-14.71
25988,-4.76,4.76,-14.28
26000,-4.61,4.61,-13.84
26016,-4.48,4.48,-13.44
25988,-4.34,4.34,-13.02
25992,-4.21,4.21,-12.64
26004,-4.12,4.12,-12.35
25976,-4.04,4.04,-12.11
26008,-3.97,3.97,-11.92
26000,-3.95,3.95,-11.85
25988,-3.96,3.96,-11.88
26016,-3.99,3.99,-11.98
25988,-4.05,4.05,-12.16
25996,-4.11,4.11,-12.34
25992,-4.17,4.17,-12.52
26012,-4.20,4.20,-12.61
25988,-3.78,3.78,-11.33
26004,-3.18,3.18,-9.53
24952,-2.54,2.54,-7.62
24948,-1.89,1.89,-5.67
24940,-1.19,1.19,-3.57
24972,-0.38,0.38,-1.14
24960,0.70,-0.70,2.10
23948,1.88,-1.88,5.65
23888,3.17,-3.17,9.51
23908,4.55,-4.55,13.64
24972,5.75,-5.75,17.25
24968,6.87,-6.87,20.62
24940,7.80,-7.80,23.40
24972,8.73,-8.73,26.19
24968,9.74,-9.74,29.22
24940,10.36,-10.36,31.07
27048,10.51,-10.51,31.54
27028,10.02,-10.02,30.07
27036,9.06,-9.06,27.19
24948,7.89,-7.89,23.66
24952,6.76,-6.76,20.29
24980,5.52,-5.52,16.56
24924,4.12,-4.12,12.35
24956,2.81,-2.81,8.43
23916,1.62,-1.62,4.86
23936,0.62,-0.62,1.85
23920,-0.17,0.17,-0.51
24956,-0.62,0.62,-1.86
24940,-0.60,0.60,-1.80
24952,-0.29,0.29,-0.87
24968,0.21,-0.21,0.62
16,0.76,-0.76,2.28
23924,1.36,-1.36,4.09
